"ADHD.cluster";"ADHD.set";"ADHD.steam_pval";"ADHD.steam_pval_adj";"ADHD.gsMap_pval";"ADHD.gsMap_pval_adj";"ASD.cluster";"ASD.set";"ASD.steam_pval";"ASD.steam_pval_adj";"ASD.gsMap_pval";"ASD.gsMap_pval_adj";"BIP.cluster";"BIP.set";"BIP.steam_pval";"BIP.steam_pval_adj";"BIP.gsMap_pval";"BIP.gsMap_pval_adj";"ALZ.cluster";"ALZ.set";"ALZ.steam_pval";"ALZ.steam_pval_adj";"ALZ.gsMap_pval";"ALZ.gsMap_pval_adj";"SCZ.cluster";"SCZ.set";"SCZ.steam_pval";"SCZ.steam_pval_adj";"SCZ.gsMap_pval";"SCZ.gsMap_pval_adj"
"4";"top200";0,67543245662806;1;NA;NA;"4";"top130";0,096490350972251;1;NA;NA;"4";"top80";0,796620337986922;1;NA;NA;"4";"top70";0,0116988291884698;0,222277754580926;NA;NA;"4";"top140";0,92250774923488;1;NA;NA
"5";"top200";0,00619938005883353;0,117788221117837;NA;NA;"5";"top130";0,00269973002710842;0,05129487051506;NA;NA;"5";"top80";0,00859914008665065;0,163383661646362;NA;NA;"5";"top70";0,0430956861755267;0,818818037335008;NA;NA;"5";"top140";0,00699930006939034;0,132986701318416;NA;NA
"6";"top200";0,0332966703153746;0,632636735992117;NA;NA;"6";"top130";0,00529947005270274;0,100689931001352;NA;NA;"6";"top80";0,024497550245671;0,465453454667749;NA;NA;"6";"top70";0,00989901084385994;0,188081206033339;NA;NA;"6";"top140";0,0554944505490904;1;NA;NA
"7";"top200";0,00299970002693855;0,0569943005118325;NA;NA;"7";"top130";0,000299970002970138;0,00569943005643262;NA;NA;"7";"top80";0,00249975002502527;0,0474952504754802;NA;NA;"7";"top70";0,0259973990212085;0,493950581402961;NA;NA;"7";"top140";0,00229977002278202;0,0436956304328583;NA;NA
"8";"top200";0,00789921007874512;0,150084991496157;NA;NA;"8";"top130";0,00239976002380562;0,0455954404523068;NA;NA;"8";"top80";0,00689931006962231;0,131086891322824;NA;NA;"8";"top70";0,124787533295917;1;NA;NA;"8";"top140";0,0103989601034648;0,197580241965831;NA;NA
"9";"top200";0,00169983001660138;0,0322967703154262;NA;NA;"9";"top130";9,99900009945731e-05;0,00189981001889689;NA;NA;"9";"top80";0,00159984001607553;0,0303969603054351;NA;NA;"9";"top70";0,0201979782407669;0,38376158657457;NA;NA;"9";"top140";0,00139986001399417;0,0265973402658892;NA;NA
"10";"top200";0,206179382218158;1;NA;NA;"10";"top130";0,0417958204181341;0,794120587944548;NA;NA;"10";"top80";0,193280671954307;1;NA;NA;"10";"top70";0,0172982711348181;0,328667151561544;NA;NA;"10";"top140";0,691130886920898;1;NA;NA
"11";"top200";0,016098390170066;0,305869413231254;NA;NA;"11";"top130";0,00159984001607553;0,0303969603054351;NA;NA;"11";"top80";0,0199980002005732;0,37996200381089;NA;NA;"11";"top70";0,0283971594489697;0,539546029530425;NA;NA;"11";"top140";0,0198980101974753;0,378062193752031;NA;NA
"12";"top200";0,933006699005125;1;NA;NA;"12";"top130";0,284471552874698;1;NA;NA;"12";"top80";0,997400260015518;1;NA;NA;"12";"top70";0,274572539190163;1;NA;NA;"12";"top140";0,993300669973394;1;NA;NA
"13";"top200";0,0742925706601794;1;NA;NA;"13";"top130";0,00259974002603359;0,0493950604946381;NA;NA;"13";"top80";0,0425957404234214;0,809319068045007;NA;NA;"13";"top70";0,0653934574847426;1;NA;NA;"13";"top140";0,0830916908295301;1;NA;NA
"14";"top200";0,73002699702472;1;NA;NA;"14";"top130";0,140385961398389;1;NA;NA;"14";"top80";0,425957404234214;1;NA;NA;"14";"top70";0,00179982010989072;0,0341965820879236;NA;NA;"14";"top140";0,919008099133214;1;NA;NA
"15";"top200";0,0226977302313538;0,431256874395723;NA;NA;"15";"top130";0,0290970902903649;0,552844715516934;NA;NA;"15";"top80";0,0519948005249839;0,987901209974695;NA;NA;"15";"top70";0,118588151630022;1;NA;NA;"15";"top140";0,0180981901813019;0,343865613444736;NA;NA
"16";"top200";0,0129987001290899;0,246975302452707;NA;NA;"16";"top130";0,00299970002970138;0,0569943005643262;NA;NA;"16";"top80";0,00719928007274862;0,136786321382224;NA;NA;"16";"top70";0,239376052035073;1;NA;NA;"16";"top140";0,00359964003607577;0,0683931606854396;NA;NA
"17";"top200";1;1;NA;NA;"17";"top130";0,998400159915359;1;NA;NA;"17";"top80";1;1;NA;NA;"17";"top70";0,00659933994040216;0,125387458867641;NA;NA;"17";"top140";1;1;NA;NA
"18";"top200";0,289271072645518;1;NA;NA;"18";"top130";0,0659934006652515;1;NA;NA;"18";"top80";0,0285971402891202;0,543345665493284;NA;NA;"18";"top70";0,734926487368534;1;NA;NA;"18";"top140";0,12818718128012;1;NA;NA
