Dataset_name;Organ;Species;Size_(spots_after_filtering);Median_genes_(after_filtering);Median_UMIs_(after_filtering);NNMF_factors_(number);NNMF_factors_(selected);Clustering_resolution_with_FindClusters();Spatial_structures_(number);Trait_ID;Significantly_enriched_structures_(Genetic);Significantly_enriched_structures_(Genetic_top_genes);Significantly_enriched_structures_ (Drugs);Gene_list_size_(Genetic);Gene_list_size_(Genetic_top_genes);Gene_list_size_(Drugs)
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;PAR;19;19;1;322;110;122
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;SCZ;7;2;19;1163;140;196
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;ADHD;1;0;0;1091;200;44
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;AHD;0;0;0;157;50;135
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;ALS;0;1;0;113;90;102
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;ALZ;0;5;0;261;70;126
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;ASD;15;1;0;780;70;60
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;BIP;0;0;17;621;120;151
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;EPI;17;17;17;472;210;200
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;INS;0;0;0;189;50;58
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;MDD;0;0;17;132;70;159
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;MS;0;N/A;17;307;N/A;214
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;PAR;17;17;0;309;100;120
brain_mouse_cell2location;brain;mouse;2981;4501;14147;40;c(2:35,37:39);0.8;17;SCZ;2;1;17;1110;130;193
heart_human_adult_ACH003;heart;human;2934;1572;5057;10;c(1:10);0.4;7;CAD;0;1;7;569;180;128
heart_human_adult_ACH003;heart;human;2934;1572;5057;10;c(1:10);0.4;7;CHD;7;7;6;157;70;28
heart_human_adult_ACH003;heart;human;2934;1572;5057;10;c(1:10);0.4;7;LDL;0;0;N/A;974;90;N/A
heart_human_adult_ACH003;heart;human;2934;1572;5057;10;c(1:10);0.4;7;MI;0;0;1;212;70;49
heart_human_adult_ACH004;heart;human;2459;1682;5695;10;c(1,2,4:6,8,9);0.4;5;CAD;0;N/A;5;515;N/A;120
heart_human_adult_ACH004;heart;human;2459;1682;5695;10;c(1,2,4:6,8,9);0.4;5;CHD;5;5;5;148;70;25
heart_human_adult_ACH004;heart;human;2459;1682;5695;10;c(1,2,4:6,8,9);0.4;5;LDL;0;N/A;N/A;892;N/A;N/A
heart_human_adult_ACH004;heart;human;2459;1682;5695;10;c(1,2,4:6,8,9);0.4;5;MI;0;N/A;2;195;N/A;41
heart_human_pcw6.5_nr8;heart;human;182;3022;8490;15;c(1:4,6:8,10,12:15);0.8;6;CAD;0;1;6;534;70;119
heart_human_pcw6.5_nr8;heart;human;182;3022;8490;15;c(1:4,6:8,10,12:15);0.8;6;CHD;6;5;4;161;60;18
heart_human_pcw6.5_nr8;heart;human;182;3022;8490;15;c(1:4,6:8,10,12:15);0.8;6;LDL;0;N/A;N/A;941;N/A;N/A
heart_human_pcw6.5_nr8;heart;human;182;3022;8490;15;c(1:4,6:8,10,12:15);0.8;6;MI;0;0;3;202;60;40
heart_human_pcw9_nr16;heart;human;243;1531;3539;10;c(1:3,5,7:10);0.6;4;CAD;0;1;3;392;50;94
heart_human_pcw9_nr16;heart;human;243;1531;3539;10;c(1:3,5,7:10);0.6;4;CHD;4;3;2;136;50;14
heart_human_pcw9_nr16;heart;human;243;1531;3539;10;c(1:3,5,7:10);0.6;4;LDL;0;N/A;N/A;684;N/A;N/A
heart_human_pcw9_nr16;heart;human;243;1531;3539;10;c(1:3,5,7:10);0.6;4;MI;0;N/A;2;145;N/A;35
intestine_human_adult_HFGA_A1;intestine;human;2597;1187;2271;20;c(1:4,6:8,10,12,13,15:20);0.8;11;CD;0;0;0;367;130;53
intestine_human_adult_HFGA_A1;intestine;human;2597;1187;2271;20;c(1:4,6:8,10,12,13,15:20);0.8;11;IBD;0;0;11;652;80;118
intestine_human_adult_HFGA_A1;intestine;human;2597;1187;2271;20;c(1:4,6:8,10,12,13,15:20);0.8;11;LID;7;5;11;700;140;232
intestine_human_adult_HFGA_A1;intestine;human;2597;1187;2271;20;c(1:4,6:8,10,12,13,15:20);0.8;11;UC;0;0;11;407;60;87
intestine_human_adult_RRST_349_B1;intestine;human;1149;1353;2458;10;c(1:10);0.6;8;CD;1;1;0;250;160;40
intestine_human_adult_RRST_349_B1;intestine;human;1149;1353;2458;10;c(1:10);0.6;8;IBD;0;1;0;459;110;81
intestine_human_adult_RRST_349_B1;intestine;human;1149;1353;2458;10;c(1:10);0.6;8;LID;0;0;0;495;80;164
intestine_human_adult_RRST_349_B1;intestine;human;1149;1353;2458;10;c(1:10);0.6;8;UC;0;2;0;295;170;62
intestine_human_pcw12_HFGA_A8;intestine;human;708;3072;6393;10;c(1,2,4,5:10);0.6;7;CD;0;N/A;0;355;N/A;56
intestine_human_pcw12_HFGA_A8;intestine;human;708;3072;6393;10;c(1,2,4,5:10);0.6;7;IBD;0;N/A;2;647;N/A;121
intestine_human_pcw12_HFGA_A8;intestine;human;708;3072;6393;10;c(1,2,4,5:10);0.6;7;LID;0;0;7;712;330;236
intestine_human_pcw12_HFGA_A8;intestine;human;708;3072;6393;10;c(1,2,4,5:10);0.6;7;UC;0;0;3;407;50;85
intestine_human_pcw19_HFGA_A4;intestine;human;1210;2387;5292;10;c(1:7,9,10);0.6;9;CD;0;N/A;0;402;N/A;65
intestine_human_pcw19_HFGA_A4;intestine;human;1210;2387;5292;10;c(1:7,9,10);0.6;9;IBD;0;N/A;6;740;N/A;136
intestine_human_pcw19_HFGA_A4;intestine;human;1210;2387;5292;10;c(1:7,9,10);0.6;9;LID;0;0;9;801;160;263
intestine_human_pcw19_HFGA_A4;intestine;human;1210;2387;5292;10;c(1:7,9,10);0.6;9;UC;0;0;9;464;190;92
intestine_mouse_healing_ctrl;intestine;mouse;2601;4352;11594;20;c(1:10,12:20);0.6;12;CD;1;0;0;473;190;94
intestine_mouse_healing_ctrl;intestine;mouse;2601;4352;11594;20;c(1:10,12:20);0.6;12;IBD;0;0;11;877;100;178
intestine_mouse_healing_ctrl;intestine;mouse;2601;4352;11594;20;c(1:10,12:20);0.6;12;LID;1;0;12;940;170;338
intestine_mouse_healing_ctrl;intestine;mouse;2601;4352;11594;20;c(1:10,12:20);0.6;12;UC;0;0;12;559;210;120
kidney_human_JCI;kidney;human;3004;2914;8300;15;c(1:15);0.8;11;CKD;3;0;11;160;70;168
kidney_human_JCI;kidney;human;3004;2914;8300;15;c(1:15);0.8;11;IKD;11;0;11;620;80;296
kidney_mouse_10X;kidney;mouse;1433;6423;38245;15;c(1:6,8:15);0.8;11;CKD;9;10;11;151;120;175
kidney_mouse_10X;kidney;mouse;1433;6423;38245;15;c(1:6,8:15);0.8;11;IKD;9;4;11;609;230;303
kidney_mouse_JCI;kidney;mouse;1833;5711;34365;15;c(1:3,5:15);0.8;14;CKD;3;1;14;148;60;164
kidney_mouse_JCI;kidney;mouse;1833;5711;34365;15;c(1:3,5:15);0.8;14;IKD;3;0;14;590;70;289
liver_human_JBO0018;liver;human;2497;3242;15713;15;c(1:10,12:15);0.4;6;CAD;6;6;6;580;50;123
liver_human_JBO0018;liver;human;2497;3242;15713;15;c(1:10,12:15);0.4;6;LDL;6;6;N/A;1109;120;N/A
liver_human_JBO0018;liver;human;2497;3242;15713;15;c(1:10,12:15);0.4;6;MI;6;6;0;206;80;53
liver_human_JBO0018;liver;human;2497;3242;15713;15;c(1:10,12:15);0.4;6;CHOL;6;6;N/A;759;90;N/A
liver_human_JBO0018;liver;human;2497;3242;15713;15;c(1:10,12:15);0.4;6;CIRR;0;0;0;127;60;63
liver_human_JBO0018;liver;human;2497;3242;15713;15;c(1:10,12:15);0.4;6;LD;5;0;6;678;90;266
liver_human_JBO0018;liver;human;2497;3242;15713;15;c(1:10,12:15);0.4;6;NAFLD;6;0;6;117;70;96
liver_human_JBO0022;liver;human;1372;2485;9744;15;c(2:15);0.4;4;CAD;4;4;4;448;50;100
liver_human_JBO0022;liver;human;1372;2485;9744;15;c(2:15);0.4;4;LDL;4;4;N/A;880;90;N/A
liver_human_JBO0022;liver;human;1372;2485;9744;15;c(2:15);0.4;4;MI;3;4;0;168;60;39
liver_human_JBO0022;liver;human;1372;2485;9744;15;c(2:15);0.4;4;CHOL;4;4;N/A;598;90;N/A
liver_human_JBO0022;liver;human;1372;2485;9744;15;c(2:15);0.4;4;CIRR;0;N/A;0;102;N/A;41
liver_human_JBO0022;liver;human;1372;2485;9744;15;c(2:15);0.4;4;LD;0;0;4;531;80;213
liver_human_JBO0022;liver;human;1372;2485;9744;15;c(2:15);0.4;4;NAFLD;4;3;4;89;80;78
liver_mouse_JBO002;liver;mouse;1649;4330;27246;15;c(1,2,4:9,11:15);0.4;6;CAD;0;4;6;559;70;121
liver_mouse_JBO002;liver;mouse;1649;4330;27246;15;c(1,2,4:9,11:15);0.4;6;LDL;6;6;N/A;1038;90;N/A
liver_mouse_JBO002;liver;mouse;1649;4330;27246;15;c(1,2,4:9,11:15);0.4;6;MI;0;4;4;212;50;46
liver_mouse_JBO002;liver;mouse;1649;4330;27246;15;c(1,2,4:9,11:15);0.4;6;CHOL;6;6;N/A;721;70;N/A
liver_mouse_JBO002;liver;mouse;1649;4330;27246;15;c(1,2,4:9,11:15);0.4;6;CIRR;0;N/A;0;109;N/A;63
liver_mouse_JBO002;liver;mouse;1649;4330;27246;15;c(1,2,4:9,11:15);0.4;6;LD;0;0;6;606;60;249
liver_mouse_JBO002;liver;mouse;1649;4330;27246;15;c(1,2,4:9,11:15);0.4;6;NAFLD;0;5;6;100;50;95
liver_mouse_zonation_C1;liver;mouse;684;1668;6295;15;c(1:5,7:13);0.8;6;CAD;6;6;6;248;60;84
liver_mouse_zonation_C1;liver;mouse;684;1668;6295;15;c(1:5,7:13);0.8;6;LDL;6;6;N/A;494;70;N/A
liver_mouse_zonation_C1;liver;mouse;684;1668;6295;15;c(1:5,7:13);0.8;6;MI;0;4;0;102;50;27
liver_mouse_zonation_C1;liver;mouse;684;1668;6295;15;c(1:5,7:13);0.8;6;CHOL;6;6;N/A;343;70;N/A
liver_mouse_zonation_C1;liver;mouse;684;1668;6295;15;c(1:5,7:13);0.8;6;CIRR;0;N/A;0;48;N/A;29
liver_mouse_zonation_C1;liver;mouse;684;1668;6295;15;c(1:5,7:13);0.8;6;LD;0;0;6;295;70;145
liver_mouse_zonation_C1;liver;mouse;684;1668;6295;15;c(1:5,7:13);0.8;6;NAFLD;0;N/A;6;53;N/A;71
lung_bronchi_human_A42;lung;human;1700;698;1201;15;c(1:15);0.6;8;AST;0;N/A;0;365;N/A;29
lung_bronchi_human_A42;lung;human;1700;698;1201;15;c(1:15);0.6;8;BRD;0;N/A;0;393;N/A;36
lung_bronchi_human_A42;lung;human;1700;698;1201;15;c(1:15);0.6;8;COPD;0;0;8;227;80;67
lung_bronchi_human_A42;lung;human;1700;698;1201;15;c(1:15);0.6;8;LUD;0;0;5;366;90;258
lung_bronchi_human_A50;lung;human;431;2148;4990;15;c(1:15);0.6;5;AST;0;0;0;399;160;36
lung_bronchi_human_A50;lung;human;431;2148;4990;15;c(1:15);0.6;5;BRD;0;0;0;431;90;43
lung_bronchi_human_A50;lung;human;431;2148;4990;15;c(1:15);0.6;5;COPD;0;N/A;5;237;N/A;76
lung_bronchi_human_A50;lung;human;431;2148;4990;15;c(1:15);0.6;5;LUD;1;1;5;408;60;275
lung_parenchyma_human_A37;lung;human;1354;507;784;10;c(1,2,4,6:10);0.3;4;AST;0;N/A;0;256;N/A;30
lung_parenchyma_human_A37;lung;human;1354;507;784;10;c(1,2,4,6:10);0.3;4;BRD;0;N/A;0;273;N/A;37
lung_parenchyma_human_A37;lung;human;1354;507;784;10;c(1,2,4,6:10);0.3;4;COPD;0;0;3;148;70;67
lung_parenchyma_human_A37;lung;human;1354;507;784;10;c(1,2,4,6:10);0.3;4;LUD;4;4;1;254;60;219
lung_parenchyma_human_A48;lung;human;2128;624;1044;10;c(3:8,10);0.3;6;AST;0;N/A;0;329;N/A;33
lung_parenchyma_human_A48;lung;human;2128;624;1044;10;c(3:8,10);0.3;6;BRD;0;N/A;0;348;N/A;40
lung_parenchyma_human_A48;lung;human;2128;624;1044;10;c(3:8,10);0.3;6;COPD;0;N/A;6;194;N/A;73
lung_parenchyma_human_A48;lung;human;2128;624;1044;10;c(3:8,10);0.3;6;LUD;6;6;0;329;50;259
pancreas_human_15PCW_S1;pancreas;human;1439;1921;3725;10;c(1:4,6,7,9,10);0.4;7;T1D;1;1;0;314;130;67
pancreas_human_15PCW_S1;pancreas;human;1439;1921;3725;10;c(1:4,6,7,9,10);0.4;7;T2D;0;0;0;1211;50;77
pancreas_human_18PCW_S1;pancreas;human;1492;2165.5;5637.5;10;c(1:5,8,10);0.4;7;T1D;7;6;2;336;130;70
pancreas_human_18PCW_S1;pancreas;human;1492;2165.5;5637.5;10;c(1:5,8,10);0.4;7;T2D;0;0;0;1310;90;80
pancreas_human_20PCW_S1;pancreas;human;2014;1542.5;3324.5;10;c(1,2,5,6,8:10);0.4;7;T1D;7;7;3;344;130;69
pancreas_human_20PCW_S1;pancreas;human;2014;1542.5;3324.5;10;c(1,2,5,6,8:10);0.4;7;T2D;0;0;0;1335;90;83
spinal_cord_human_pcw5_302B1;spinal_cord;human;131;6188;37537;15;c(2:15);0.8;3;AHD;0;N/A;2;104;N/A;45
spinal_cord_human_pcw5_302B1;spinal_cord;human;131;6188;37537;15;c(2:15);0.8;3;ALS;0;N/A;2;72;N/A;43
spinal_cord_human_pcw5_302B1;spinal_cord;human;131;6188;37537;15;c(2:15);0.8;3;MS;0;N/A;3;207;N/A;104
spinal_cord_human_pcw8_107B1;spinal_cord;human;1669;3320;6205;15;c(1:11,14,15);0.4;7;AHD;1;0;3;141;50;100
spinal_cord_human_pcw8_107B1;spinal_cord;human;1669;3320;6205;15;c(1:11,14,15);0.4;7;ALS;0;1;4;100;70;81
spinal_cord_human_pcw8_107B1;spinal_cord;human;1669;3320;6205;15;c(1:11,14,15);0.4;7;MS;0;N/A;7;272;N/A;172
spinal_cord_human_pcw9_288A1;spinal_cord;human;1758;5781;18692;15;c(1:13,15);0.6;10;AHD;2;0;5;154;90;119
spinal_cord_human_pcw9_288A1;spinal_cord;human;1758;5781;18692;15;c(1:13,15);0.6;10;ALS;0;0;6;111;70;94
spinal_cord_human_pcw9_288A1;spinal_cord;human;1758;5781;18692;15;c(1:13,15);0.6;10;MS;0;0;10;319;110;198
spinal_cord_human_pcw12_290D1;spinal_cord;human;1782;3567;8241;15;c(1,3:8,10:15);0.8;11;AHD;1;N/A;3;150;N/A;115
spinal_cord_human_pcw12_290D1;spinal_cord;human;1782;3567;8241;15;c(1,3:8,10:15);0.8;11;ALS;1;0;4;109;80;91
spinal_cord_human_pcw12_290D1;spinal_cord;human;1782;3567;8241;15;c(1,3:8,10:15);0.8;11;MS;0;N/A;11;301;N/A;191
