symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ITIH3	0.37659175673345757	No data	0.6166396597035981	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.056503686855088685	No data	No data	No data	0	1	0	0	0	0.2471899999999998	No data	0.10215113072255932	No data	0	No data	No data	0	1	0
SHISA9	0.3744183694143463	No data	0.615889786938455	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6816049999999997	No data	-0.6030888030888031	0	0	No data	No data	0	0.5	0.5
GRIK2	0.3731162389418639	0.5854542450665914	0.10609507775977783	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07964400057710244	No data	No data	1	1	0	1	1	0	0.9504399999999997	No data	-0.7120794263651407	-0.3007180760118758	0	No data	No data	-0.46861250000000004	0.75	0.5
DOCK2	0.37294390886142204	No data	0.6134644112892578	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	1	1	0.7540999999999997	No data	-0.7714285714285715	-0.6665512940060799	0	No data	No data	-0.009562500000000007	0.75	0
ZSWIM6	0.3723362478352138	No data	0.6124648550427317	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8230449999999998	No data	-0.9812465526751241	-0.7848218948782184	0	No data	No data	-0.2674900000000001	-1	-1
FLRT3	0.37094952891594785	No data	0.6101838077184081	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.8151000000000004	No data	-0.5885273028130171	-0.8635081458720173	0	No data	No data	0	0.5	0
PMFBP1	0.3687584081119384	No data	0.6065795803744115	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.11428571428571432	0	0	No data	No data	No data	0.5	0
GABRG2	0.36738348085715006	0.5909425092116962	0.05052957480266155	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	1	1	0	1	1	0	0.94737	No data	-0.763596249310535	-0.9310584442714309	0	255	No data	-0.3105274999999999	0.75	0.5
LRFN5	0.36697141713623904	No data	0.6036401159111536	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8400550000000002	No data	-0.5333701047986763	-0.655929141168683	0	No data	No data	0	0.5	0
SRPK2	0.36580745310608775	No data	0.6017254834649539	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	1	0.5493549999999999	1	-0.8478764478764479	No data	0	No data	No data	0	0.5	-1
GABRB2	0.3656301321056298	0.5909425092116962	0.031287525965454	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12012359313034908	No data	No data	1	1	0	1	1	0	0.6191400000000001	No data	-0.7652509652509653	-0.2859359608929937	0	No data	No data	-0.3359375	1	0.5
DCLK3	0.36502240895524923	No data	0.5992942752021402	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02279740491043579	No data	No data	No data	0	0	1	1	0	0	No data	-0.038610038610038644	-0.25767191728889277	0	No data	No data	0	0.5	0.5
CHRNA3	0.36360912047582017	No data	0.5962180529551429	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03782680518472309	No data	No data	1	1	0	1	1	0	0.5148499999999998	No data	0.17562051847766136	-0.8059590831228897	0	255	No data	-0.06930750000000004	0.75	0.5
CNR1	0.36312850940723007	0.5210363262298743	0.28812177100051173	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19134249843758833	No data	No data	1	1	0	1	1	0	0.8516950000000001	1	-0.44280198565912854	-0.9182577600398064	0	255	No data	0	0.5	0
SP4	0.36055240126331534	No data	0.5732841434837463	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3959435746446667	No data	No data	No data	0	0	0	0	0	0.87245	No data	-0.8554881412024269	-0.9458456700205975	0	No data	No data	0	-1	0
GCKR	0.358653937556263	No data	0.5899584935741164	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	No data	No data	No data	0.3920000000000002	No data	0.29718698290126855	-0.6669541841444173	0	255	No data	No data	1	0.5
NPAS3	0.3568475286811241	No data	0.5828901041259006	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0819396802968249	No data	No data	No data	0	0	0	0	0	0.6731000000000001	No data	-0.8986210700496415	-0.8253735171852902	0	No data	No data	0	0.5	0.5
