symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CACNA1C	0.39581034039003293	No data	0.6457134006810267	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10729108307447778	No data	No data	1	1	0	1	1	0	0.7708150000000004	No data	-0.9643684500827358	-0.9658759542135883	0	255	No data	-0.17212250000000004	0.5	0
PTPRN2	0.3951908586796249	No data	0.644140072666884	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11837763586826287	No data	No data	No data	0	0	0	0	0	0	No data	-0.2687258687258687	0	0	No data	No data	0	0.5	0
SRPK2	0.3937903596254341	No data	0.6477552398603905	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	1	0.5493549999999999	1	-0.8478764478764479	No data	0	No data	No data	0	0.5	-1
TFAP2D	0.3927187072085632	No data	0.6459924530085299	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9778750000000003	No data	-0.807611693325979	0	0	255	No data	0	No data	No data
BDNF	0.39114866424879113	No data	0.5972123731720287	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9239495677181588	No data	No data	No data	0	1	0	1	0	0.8785400000000003	No data	-0.9355763927192499	-0.8849201471761644	0	255	No data	0	0.5	0.5
NCAM1	0.38877539534512523	No data	0.6345874788627766	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09837051116597677	No data	No data	0.2	1	1	0	0	1	0.6911400000000001	No data	-0.9460562603419747	-0.30532613688993904	No data	No data	No data	0	0.5	0
MED27	0.38717495120199286	No data	0.6368733953323106	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9035350000000001	No data	0.20551571980143413	-0.4870861386104308	-1	No data	No data	No data	-1	-1
AUTS2	0.3854988439462585	No data	0.6303737512972778	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07485149742745292	No data	No data	No data	1	0	0	0	0	0.6664000000000001	No data	-0.9360176503033646	-0.7690601188826984	0	No data	No data	0	-1	-1
ARPP21	0.385490385308729	No data	0.6341024123522049	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.14994000000000013	No data	-0.4209597352454495	No data	0	No data	No data	0	1	0
HIVEP1	0.38547356971893904	No data	0.3477481365336053	No data	0.547137717850459	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.936238279095422	-0.5208031853240863	0	No data	No data	0	-1	-1
POU3F2	0.3817336865046245	No data	0.6279229280772457	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	1	No data	-0.2507446221731936	-0.7655416017409735	0	No data	No data	-0.08013499999999993	1	1
VGLL3	0.3801331489957896	No data	0.6252901654089897	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.4325150000000001	No data	-0.060341974627688866	0	0	No data	No data	0	0.5	0
CA10	0.37998256647413275	No data	0.6250424685950622	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	1	No data	-0.4622173193601765	No data	0	No data	No data	0	0.5	0.5
TANK	0.37843512908868643	No data	0.6224970515977234	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	1	0	0	No data	-0.7498069498069497	-0.7643300758299317	0	No data	No data	No data	-1	-1
CADM2	0.3781841459698342	No data	0.6182634599328496	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07641486984577137	No data	No data	No data	1	0	0	0	0	0.8391100000000001	No data	-0.6709321566464423	No data	0	255	No data	0	0.75	0
PDE4B	0.37641645898135545	No data	0.6010715534886755	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3620987813274218	1	0	0	1	1	1	0.8573349999999997	1	-0.8223938223938224	-0.7027944885547068	0	255	No data	-0.24932000000000015	0.5	-1
CACNA2D3	0.37564172210939234	No data	0.5837588932498268	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05901994826812821	No data	0.6566332314611171	1	0	0	1	0	0	0.9037599999999998	No data	-0.7360176503033646	-0.22574289577974915	0	No data	No data	0	0.5	0.5
