symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
WSCD2	0.4961546062883277	No data	0.7962512363962161	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3977083277975225	No data	0	0	0	0	0	0.6371699999999997	No data	-0.500165471594043	-0.05373224667943238	0	No data	No data	0	1	0
THOC7	0.49499748988955006	No data	0.8127134571795112	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.8774500000000003	No data	-0.1749586321014892	0	-1	No data	No data	No data	-1	-1
HCN1	0.4941682121309027	No data	0.7839611142177657	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19755998751399056	No data	0.49035698135353356	No data	1	0	1	1	0	0.7584249999999997	1	-0.863430777716492	-0.9279349022751071	0	No data	No data	-0.05336999999999996	1	0.5
FUT9	0.48779213143449396	No data	0.8011651550449665	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	No data	0	0	0	0	0	0.9721449999999997	No data	-0.3437396580253723	No data	0	No data	No data	0	0.75	0.5
BCL11A	0.48577986514220195	No data	0.7952789109357663	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07584160902448611	No data	No data	1	0	0	0	0	0	0.9760500000000001	No data	-0.988196359624931	-0.49356071355272396	0	No data	255	-0.07485	0.5	0
MMP16	0.484576529884472	No data	0.7822505078739256	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06818603865439628	No data	0.2665168616729347	No data	0	1	1	1	0	0.9011549999999999	No data	-0.887699944842802	-0.2125810985050755	0	No data	No data	-0.1598025	0.5	0.5
GIGYF2	0.4834754146037667	No data	0.7942164663395214	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	No data	0	0	0	1	0	0.7113149999999997	No data	-0.9803640375068946	-0.8015589177849936	0	No data	No data	0	-1	-1
SNAP91	0.48108239775166806	No data	0.7879717518050026	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06744524835658039	No data	No data	No data	0	0	0	0	0	0.6471899999999998	No data	-0.775399889685604	-0.8506876496067647	0	No data	No data	0	0.5	0
SDCCAG8	0.47997957076292047	No data	0.7841886714015697	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10682552331692181	No data	No data	No data	0	0	0	0	0	0	No data	-0.21610590182018752	-0.873174866558736	0	No data	No data	No data	-1	-1
ATP2A2	0.4795141692682048	No data	0.7805379090472704	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16452976801434274	No data	No data	0.2	1	0	1	1	0	0.7216900000000003	No data	-0.9534473248758963	-0.9758701154348848	-1	No data	No data	-0.5129549999999998	0.75	-1
NRGN	0.4777009816100387	No data	0.7471587540856505	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5087572629722468	No data	0.546347407813564	No data	No data	No data	0	0	0	0.8076900000000002	No data	0.7104247104247103	-0.17073779750080204	0	No data	No data	No data	1	0
VRK2	0.47755450588808096	No data	0.7669491096711114	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3718358063978262	No data	No data	No data	0	0	1	1	0	0	No data	0.29685603971318253	No data	0	No data	No data	0	-1	-1
DPYD	0.47618864006747885	No data	0.7630452370797154	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11073879957191644	No data	0.3557611027623207	1	0	0	0	1	0	0.47805000000000036	No data	0.21632653061224483	-0.05901705023956677	0	255	No data	0	0.5	-1
CHRM3	0.4754485640658325	0.6527640020266835	0.4636197049825737	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1854278900806209	No data	0.49905039175937976	1	1	0	1	1	0	0.5762700000000003	0	-0.7720904578047435	-0.8246355290964752	0	255	No data	0	0.5	0
KLF6	0.4747391885678094	No data	0.7693550126571623	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23109808235540594	No data	No data	No data	0	0	0	0	0	0.7526499999999998	No data	-0.9921676778819636	-0.7670096588048255	0	No data	No data	0	0.5	-1
