symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MPO	0.5117547282373773	No data	No data	No data	0.7997544896735449	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8408635830617334	No data	No data	0.7	0	0	1	1	1	0.1610750000000003	No data	0.04103695532266971	-0.729954855750915	0	No data	No data	-0.17785249999999983	1	0.5
CASS4	0.5104872560249373	No data	0.827098722275802	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2522810200892453	No data	No data	No data	0	0	0	0	0	0	No data	-0.6551571980143409	No data	0	No data	No data	0	0.5	0.5
KAT8	0.5057098773322191	No data	0.24308331585756732	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	0.5026509950853078	No data	No data	No data	0	0	1	1	1	0.9126649999999998	No data	-0.20154440154440156	-0.8508235603669836	-1	No data	No data	0	-1	-1
FADS2	0.5017930585581221	No data	0.24808125445669288	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	0.156495059821552	No data	No data	No data	1	0	0	0	0	0.38063	No data	-0.7777164920022063	-0.8842619598320001	0	No data	No data	-0.06531500000000001	0.5	-1
CTSB	0.5013866040818838	No data	0.7799707849470338	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.895442138552752	No data	No data	No data	0	1	1	1	1	0	No data	0.82426916712631	-0.2088763007696509	0	No data	No data	0	0.5	-1
DRD1	0.4964918626381651	0.639002816156215	0.20702005637029128	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	0.21629358623565365	No data	No data	1	1	0	1	1	0	0.5515700000000002	No data	-0.9222283507997794	-0.8082857508580255	0	255	No data	0	0.75	0.5
H2BC4	0.4953245841496741	No data	No data	No data	0.8147713293941626	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	1	No data	0.9653612796469939	No data	-1	No data	No data	-1	-1	0
TP53	0.49512130669415844	No data	0.06168521677607965	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	0.9533908685136157	No data	No data	0.7	0	0	1	1	0	0	No data	-0.7412024269167126	-0.9870589005103775	0	255	255	0	-1	-1
BMS1	0.48246171974515695	No data	0.12227092168098067	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	0.14092500290184237	No data	No data	No data	0	0	0	0	0	0.32917500000000005	No data	-0.680419194704909	-0.4882984078352451	-1	No data	No data	0	-1	-1
CLK2	0.4823993150445137	No data	0.2693525433398516	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7250106593008072	No data	No data	0.052265161627999095	No data	No data	0.7	0	0	1	1	1	0.8396799999999999	1	-0.9072255929398787	-0.05373224667943238	0	No data	No data	-0.0030049999999999244	-1	-1
