CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
23x18_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
23x19_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
23x20_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
23x21_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
23x22_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
23x23_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
23x24_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
23x25_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
23x26_1   ;1.03437146;0.2562202 ;3.301073  ;2.522922  
23x27_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
24x18_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
24x19_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
24x20_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
24x21_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
24x24_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
24x25_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
24x26_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
25x20_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
25x25_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
