"dataset";"trait";"gene_list";"cluster";"median.genes";"median.umi";"median.score_genetic";"neg.log10.p.val_genetic";"neg.log10.p.val.adj_genetic";"median.score_drugs";"neg.log10.p.val_drugs";"neg.log10.p.val.adj_drugs"
"liver_mouse_JBO002";"T2D";"all_genes";"cluster_0";4162;25321;-0.0420068551892329;0.00696006657880067;0;"0.395523356326543";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"T2D";"all_genes";"cluster_1";4374.5;27910;-0.0438933827879325;0.00568227536886167;0;"0.376659530731687";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"T2D";"all_genes";"cluster_2";4350;27696.5;-0.0408706853185152;0.00819737363196599;0;"0.384180589797339";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"T2D";"all_genes";"cluster_3";4612;31261;-0.0433802199963055;0.00625461345815733;0;"0.363851348193253";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"T2D";"all_genes";"cluster_4";4095;23806;-0.0382972588562388;0.0113953020411115;0;"0.399268098154826";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"T2D";"all_genes";"cluster_5";4526;30282;-0.0454018071002287;0.00467152124870026;0;"0.378440829057329";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"UC";"all_genes";"cluster_0";4162;25321;-0.0142082308136116;0.176047836120895;0;"0.421525084335532";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"UC";"all_genes";"cluster_1";4374.5;27910;-0.0197301451693273;0.141746902742977;0;"0.408268898873404";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"UC";"all_genes";"cluster_2";4350;27696.5;-0.0160352131104861;0.162833899475656;0;"0.414523840119048";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"UC";"all_genes";"cluster_3";4612;31261;-0.0233095874062558;0.120030588910091;0;"0.416593504668492";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"UC";"all_genes";"cluster_4";4095;23806;-0.00420775133230622;0.257475392910721;0;"0.420909394884124";"4.00004342727686";"3.22189217689322"
"liver_mouse_JBO002";"UC";"all_genes";"cluster_5";4526;30282;-0.0137336465689551;0.180828627394479;0;"0.430938245000438";"4.00004342727686";"3.22189217689322"
"lung_bronchi_human_A50";"ADHD";"all_genes";"cluster_0";1713;3700;-0.0442538224133959;0.000521414147958876;0;"-0.0451312079895998";"0.292047680853934";"0"
"lung_bronchi_human_A50";"ADHD";"all_genes";"cluster_1";5994;38503;-0.0481827894296423;0.000999927673699819;0;"0.170935932521832";"1.17656919810656";"0.477599193770543"
"lung_bronchi_human_A50";"ADHD";"all_genes";"cluster_2";1346;2732.5;-0.0376452198033204;0.00440823267931276;0;"-0.0923460861548407";"0.044115270379912";"0"
"lung_bronchi_human_A50";"ADHD";"all_genes";"cluster_3";3425.5;12152.5;-0.0502834738746417;0.000173735168594841;0;"-0.0746151657785135";"0.0675189302263204";"0"
"lung_bronchi_human_A50";"ADHD";"all_genes";"cluster_4";1851;4108;-0.0479173422883896;0.000391001910783589;0;"-0.0282272760675897";"0.324173471957906";"0"
"lung_bronchi_human_A50";"AHD";"all_genes";"cluster_0";1713;3700;0.0276950958371904;0.895897876722854;0.196927872386836;"0.026999544914422";"0.886100074970026";"0.187130070634007"
"lung_bronchi_human_A50";"AHD";"all_genes";"cluster_1";5994;38503;-0.0233915796991775;0.117234385884423;0;"-0.05073057229414";"0.0403820570033672";"0"
"lung_bronchi_human_A50";"AHD";"all_genes";"cluster_2";1346;2732.5;0.0488378181000771;1.30896193515389;0.609991930817875;"0.041586929748585";"1.05260970538981";"0.353639701053793"
"lung_bronchi_human_A50";"AHD";"all_genes";"cluster_3";3425.5;12152.5;0.0207593020880596;0.718555539336781;0.0195855350007626;"0.0325663322737346";"0.879798631730497";"0.180828627394479"
"lung_bronchi_human_A50";"AHD";"all_genes";"cluster_4";1851;4108;0.0370354651101908;1.01148447039825;0.312514466062228;"0.0439711604322676";"0.998742494256445";"0.299772489920426"
"lung_bronchi_human_A50";"ALS";"all_genes";"cluster_0";1713;3700;0.0218477129743677;0.782559483062956;0.0835894787269376;"0.0350760116905048";"1.02049505257277";"0.321525048236749"
"lung_bronchi_human_A50";"ALS";"all_genes";"cluster_1";5994;38503;-0.0227424612750962;0.130283832494452;0;"-0.0519805125741567";"0.0392398023650929";"0"
"lung_bronchi_human_A50";"ALS";"all_genes";"cluster_2";1346;2732.5;0.0503661537998158;1.28571366753163;0.586743663195611;"0.0440096934675274";"1.09804053592613";"0.399070531590114"
"lung_bronchi_human_A50";"ALS";"all_genes";"cluster_3";3425.5;12152.5;0.0129931900833717;0.565155306409547;0;"0.042333915258238";"1.04435567696336";"0.345385672627338"
"lung_bronchi_human_A50";"ALS";"all_genes";"cluster_4";1851;4108;0.0333122164834424;0.901399701459806;0.202429697123787;"0.0470798910181819";"1.04580091783754";"0.346830913501519"
"lung_bronchi_human_A50";"ALZ";"all_genes";"cluster_0";1713;3700;0.00137024376308056;0.376277427142932;0;"-0.0407482496975571";"0.0144822395035176";"0"
"lung_bronchi_human_A50";"ALZ";"all_genes";"cluster_1";5994;38503;-0.0482623288459431;0.0109942708386424;0;"-0.0763481710497364";"0.00779928323009118";"0"
"lung_bronchi_human_A50";"ALZ";"all_genes";"cluster_2";1346;2732.5;0.013020499321131;0.575651872866585;0;"-0.0328344272157404";"0.0612236022506524";"0"
"lung_bronchi_human_A50";"ALZ";"all_genes";"cluster_3";3425.5;12152.5;0.00381449601964817;0.402787144351721;0;"-0.0434876741371857";"0.0268693745938905";"0"
"lung_bronchi_human_A50";"ALZ";"all_genes";"cluster_4";1851;4108;0.00876979836005284;0.484037196890815;0;"-0.0343106867841094";"0.0716987920120005";"0"
"lung_bronchi_human_A50";"ASD";"all_genes";"cluster_0";1713;3700;-0.0556301331044361;4.34272768626769e-05;0;"-0.0212917850484461";"0.13559168011868";"0"
"lung_bronchi_human_A50";"ASD";"all_genes";"cluster_1";5994;38503;-0.0767141353744039;0;0;"0.0287625421533738";"0.538094932073101";"0"
"lung_bronchi_human_A50";"ASD";"all_genes";"cluster_2";1346;2732.5;-0.0520219609958712;0.00026062882272692;0;"-0.0257427670057093";"0.179251046188659";"0"
"lung_bronchi_human_A50";"ASD";"all_genes";"cluster_3";3425.5;12152.5;-0.0530623958506429;0.000391001910783589;0;"-0.0788030602006493";"0.0196309656699712";"0"
"lung_bronchi_human_A50";"ASD";"all_genes";"cluster_4";1851;4108;-0.0516627276566833;0.000304082170294646;0;"-0.05042289948362";"0.0766439611181462";"0"
"lung_bronchi_human_A50";"BIP";"all_genes";"cluster_0";1713;3700;-0.0122389032045511;0.147319516485657;0;"0.184550591617057";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"BIP";"all_genes";"cluster_1";5994;38503;-0.0213086422916497;0.0808083893536119;0;"0.196018081151236";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"BIP";"all_genes";"cluster_2";1346;2732.5;-0.0190978895538697;0.0871839521145077;0;"0.239920286744279";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"BIP";"all_genes";"cluster_3";3425.5;12152.5;-0.0231675504823009;0.0640829582876962;0;"0.216561898853165";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"BIP";"all_genes";"cluster_4";1851;4108;-0.0171494101679989;0.102471313451132;0;"0.178566550397396";"3.69901343161288";"3.00004342727686"
"lung_bronchi_human_A50";"CAD";"all_genes";"cluster_0";1713;3700;-0.0231654281515433;0.0497759592632742;0;"0.194315469917595";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"CAD";"all_genes";"cluster_1";5994;38503;-0.0614751008411828;0.000173735168594841;0;"0.186226565392136";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"CAD";"all_genes";"cluster_2";1346;2732.5;-0.0119916616630894;0.142650616355961;0;"0.243902726109472";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"CAD";"all_genes";"cluster_3";3425.5;12152.5;-0.006147510928421;0.218718971609875;0;"0.199153327682338";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"CAD";"all_genes";"cluster_4";1851;4108;0.00423395432079296;0.405761398465057;0;"0.18469392183318";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"CD";"all_genes";"cluster_0";1713;3700;0.0199833441578272;0.783349828107108;0.0843798237710895;"0.00243042651782396";"0.447983893088978";"0"
"lung_bronchi_human_A50";"CD";"all_genes";"cluster_1";5994;38503;-0.0250631877703031;0.0658480779289783;0;"-0.0779791374678652";"0.0113953020411115";"0"
"lung_bronchi_human_A50";"CD";"all_genes";"cluster_2";1346;2732.5;0.0356967157207421;1.26444452757868;0.565474523242664;"0.0143387166684845";"0.602103418604825";"0"
"lung_bronchi_human_A50";"CD";"all_genes";"cluster_3";3425.5;12152.5;0.0319489090354393;1.10739239339956;0.408422389063544;"0.000976032505567659";"0.367080259109602";"0"
"lung_bronchi_human_A50";"CD";"all_genes";"cluster_4";1851;4108;0.0385924786077878;1.36155417032223;0.662584165986207;"0.0609248775487007";"1.2147135922661";"0.515743587930077"
"lung_bronchi_human_A50";"CHD";"all_genes";"cluster_0";1713;3700;-0.00259125176168493;0.341841173889848;0;"-0.0124913107490118";"0.298389109951115";"0"
"lung_bronchi_human_A50";"CHD";"all_genes";"cluster_1";5994;38503;-0.0345012753436245;0.0594771407867725;0;"0.00242323236810388";"0.339462514849563";"0"
"lung_bronchi_human_A50";"CHD";"all_genes";"cluster_2";1346;2732.5;0.000427287178224239;0.382938196774485;0;"0.0277905345880127";"0.772413777705854";"0.0734437733698352"
"lung_bronchi_human_A50";"CHD";"all_genes";"cluster_3";3425.5;12152.5;0.0354477176876198;0.996152261039952;0.297182256703933;"-0.0131371614872742";"0.261104396073383";"0"
"lung_bronchi_human_A50";"CHD";"all_genes";"cluster_4";1851;4108;-0.0116877650283791;0.217642474780333;0;"0.212788173711355";"1.83867542504189";"1.13970542070587"
"lung_bronchi_human_A50";"CHOL";"all_genes";"cluster_0";1713;3700;-0.0171585527901696;0.0753507242566769;0;"N/A";"N/A";"N/A"
"lung_bronchi_human_A50";"CHOL";"all_genes";"cluster_1";5994;38503;-0.0320792217620535;0.0180889828068891;0;"N/A";"N/A";"N/A"
"lung_bronchi_human_A50";"CHOL";"all_genes";"cluster_2";1346;2732.5;-0.00911372090779648;0.163339628187131;0;"N/A";"N/A";"N/A"
"lung_bronchi_human_A50";"CHOL";"all_genes";"cluster_3";3425.5;12152.5;-0.0130385001001787;0.118031465650204;0;"N/A";"N/A";"N/A"
"lung_bronchi_human_A50";"CHOL";"all_genes";"cluster_4";1851;4108;-0.00273419517367424;0.262373799920221;0;"N/A";"N/A";"N/A"
"lung_bronchi_human_A50";"CIRR";"all_genes";"cluster_0";1713;3700;0.0350597551867085;1.04483688973492;0.345866885398902;"0.0174089685038136";"0.711794201704877";"0.0128241973688578"
"lung_bronchi_human_A50";"CIRR";"all_genes";"cluster_1";5994;38503;0.0400341674770075;0.955111881127703;0.256141876791684;"-0.0535639264403576";"0.0537877200774654";"0"
"lung_bronchi_human_A50";"CIRR";"all_genes";"cluster_2";1346;2732.5;0.0213135759410509;0.741166797904731;0.0421967935687126;"0.0280489227341129";"0.805806678553033";"0.106836674217015"
"lung_bronchi_human_A50";"CIRR";"all_genes";"cluster_3";3425.5;12152.5;0.035127625291193;0.983010087978082;0.284040083642064;"0.0130803742335973";"0.528458373091673";"0"
"lung_bronchi_human_A50";"CIRR";"all_genes";"cluster_4";1851;4108;0.0600312344883315;1.48284752932689;0.78387752499087;"0.0592644058044664";"1.14150622970722";"0.442536225371205"
"lung_bronchi_human_A50";"CKD";"all_genes";"cluster_0";1713;3700;0.0466752200491575;1.323349817652;0.624379813315977;"0.180395479505089";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"CKD";"all_genes";"cluster_1";5994;38503;-0.0163158715997745;0.169454758591718;0;"0.153574820986784";"3.5229221725572";"2.82395216822118"
"lung_bronchi_human_A50";"CKD";"all_genes";"cluster_2";1346;2732.5;0.0603089784317508;1.56707413640246;0.868104132066438;"0.228104637232177";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"CKD";"all_genes";"cluster_3";3425.5;12152.5;0.0426295747862601;1.13731589895889;0.438345894622869;"0.204440594949573";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"CKD";"all_genes";"cluster_4";1851;4108;0.0431284094463819;1.14030486107972;0.441334856743697;"0.168177151112079";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"EPI";"all_genes";"cluster_0";1713;3700;0.0802717562836318;3.09695344028492;2.3979834359489;"1.29611014198006";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"EPI";"all_genes";"cluster_1";5994;38503;0.07231330209792;2.35659075079068;1.65762074645466;"1.2317318266209";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"EPI";"all_genes";"cluster_2";1346;2732.5;0.108909200736246;4.00004342727686;3.30107342294084;"1.33448627423826";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"EPI";"all_genes";"cluster_3";3425.5;12152.5;0.0759054315637796;2.72128982632403;2.02231982198801;"1.43327597755299";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"EPI";"all_genes";"cluster_4";1851;4108;0.0878601805540861;3.3979834359489;2.69901343161288;"1.28995053990749";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"IBD";"all_genes";"cluster_0";1713;3700;0.0216891905961896;1.04483688973492;0.345866885398902;"0.138041714056215";"3.69901343161288";"3.00004342727686"
"lung_bronchi_human_A50";"IBD";"all_genes";"cluster_1";5994;38503;-0.00722164118259594;0.189340566329746;0;"0.116658731185934";"2.76959450589859";"2.07062450156257"
"lung_bronchi_human_A50";"IBD";"all_genes";"cluster_2";1346;2732.5;0.0287115104544224;1.35560483780902;0.656634833473005;"0.186947493819427";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"IBD";"all_genes";"cluster_3";3425.5;12152.5;0.0224100898339576;1.0453186362978;0.346348631961781;"0.165736018883609";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"IBD";"all_genes";"cluster_4";1851;4108;0.0311180210532578;1.46728904828437;0.768319043948346;"0.158566366981152";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"IKD";"all_genes";"cluster_0";1713;3700;0.0725953147292421;3.69901343161288;3.00004342727686;"0.781616674438658";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"IKD";"all_genes";"cluster_1";5994;38503;0.0423101435053125;1.62529508126676;0.92632507693074;"0.731129338784111";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"IKD";"all_genes";"cluster_2";1346;2732.5;0.0880704144036532;4.00004342727686;3.30107342294084;"0.820936380613283";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"IKD";"all_genes";"cluster_3";3425.5;12152.5;0.0737943975843343;3.30107342294084;2.60210341860483;"0.857486985513376";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"IKD";"all_genes";"cluster_4";1851;4108;0.0832380184051306;3.69901343161288;3.00004342727686;"0.776843034347931";"4.00004342727686";"3.30107342294084"
"lung_bronchi_human_A50";"INS";"all_genes";"cluster_0";1713;3700;-0.0107280248716911;0.221675083920989;0;"-0.00840503481748953";"0.445069968943623";"0"
"lung_bronchi_human_A50";"INS";"all_genes";"cluster_1";5994;38503;-0.0314301110342496;0.0761779520913612;0;"0.0369735930497244";"0.542010234780357";"0"
"lung_bronchi_human_A50";"INS";"all_genes";"cluster_2";1346;2732.5;-0.00499632759714869;0.306404401115314;0;"-0.0385693979643849";"0.227795087305009";"0"
"lung_bronchi_human_A50";"INS";"all_genes";"cluster_3";3425.5;12152.5;-0.0022424166500313;0.328500342014289;0;"-0.00558538185078685";"0.340412415669862";"0"
"lung_bronchi_human_A50";"INS";"all_genes";"cluster_4";1851;4108;0.00138895140416637;0.385251635320445;0;"-0.0395157044921623";"0.161446174460206";"0"
