CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
24x22_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
24x24_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
24x26_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
24x28_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
24x30_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
24x32_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
24x34_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
24x36_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
24x38_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
24x40_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
24x42_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
24x44_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
24x46_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
24x48_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
24x50_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
24x52_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
24x54_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
25x21_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
25x23_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
25x25_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
25x27_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
25x29_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
25x31_1  ;1.793218 ;1.0150663;2.699013 ;1.920862 
25x33_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
25x35_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
25x37_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
25x39_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
25x41_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
25x43_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
25x45_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
25x47_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
25x49_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
25x51_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
25x53_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
25x55_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
26x22_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
26x24_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
26x26_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
26x28_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
26x30_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
26x32_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
26x34_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
26x36_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
26x38_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
26x40_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
26x42_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
