CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
25x53_1  ;0.1404248;0        ;3.000043 ;2.221892 
25x55_1  ;0.1745524;0        ;3.522922 ;2.744771 
26x22_1  ;0.1404248;0        ;3.000043 ;2.221892 
26x24_1  ;0.1382701;0        ;3.221892 ;2.443741 
26x26_1  ;0.1382701;0        ;3.221892 ;2.443741 
26x28_1  ;0.1404248;0        ;3.000043 ;2.221892 
26x30_1  ;0.1404248;0        ;3.000043 ;2.221892 
26x32_1  ;0.1382701;0        ;3.221892 ;2.443741 
26x34_1  ;0.1479906;0        ;3.045801 ;2.267650 
26x36_1  ;0.1745524;0        ;3.522922 ;2.744771 
26x38_1  ;0.1382701;0        ;3.221892 ;2.443741 
26x40_1  ;0.1382701;0        ;3.221892 ;2.443741 
26x42_1  ;0.1382701;0        ;3.221892 ;2.443741 
26x44_1  ;0.1404248;0        ;3.000043 ;2.221892 
26x46_1  ;0.1404248;0        ;3.000043 ;2.221892 
26x48_1  ;0.1745524;0        ;3.522922 ;2.744771 
26x50_1  ;0.2152122;0        ;3.397983 ;2.619832 
26x52_1  ;0.1745524;0        ;3.522922 ;2.744771 
26x54_1  ;0.1745524;0        ;3.522922 ;2.744771 
27x21_1  ;0.1589343;0        ;3.699013 ;2.920862 
27x23_1  ;0.1589343;0        ;3.699013 ;2.920862 
27x25_1  ;0.1382701;0        ;3.221892 ;2.443741 
27x27_1  ;0.1382701;0        ;3.221892 ;2.443741 
27x29_1  ;0.1404248;0        ;3.000043 ;2.221892 
27x31_1  ;0.1404248;0        ;3.000043 ;2.221892 
27x33_1  ;0.1745524;0        ;3.522922 ;2.744771 
27x35_1  ;0.1479906;0        ;3.045801 ;2.267650 
27x37_1  ;0.1745524;0        ;3.522922 ;2.744771 
27x39_1  ;0.1404248;0        ;3.000043 ;2.221892 
27x41_1  ;0.1382701;0        ;3.221892 ;2.443741 
27x43_1  ;0.1745524;0        ;3.522922 ;2.744771 
27x45_1  ;0.1479906;0        ;3.045801 ;2.267650 
27x47_1  ;0.2152122;0        ;3.397983 ;2.619832 
27x49_1  ;0.2152122;0        ;3.397983 ;2.619832 
27x51_1  ;0.1404248;0        ;3.000043 ;2.221892 
27x53_1  ;0.2152122;0        ;3.397983 ;2.619832 
27x55_1  ;0.2152122;0        ;3.397983 ;2.619832 
28x20_1  ;0.1589343;0        ;3.699013 ;2.920862 
28x22_1  ;0.1745524;0        ;3.522922 ;2.744771 
28x24_1  ;0.1589343;0        ;3.699013 ;2.920862 
28x26_1  ;0.1404248;0        ;3.000043 ;2.221892 
28x28_1  ;0.1382701;0        ;3.221892 ;2.443741 
28x30_1  ;0.1382701;0        ;3.221892 ;2.443741 
28x32_1  ;0.1479906;0        ;3.045801 ;2.267650 
28x34_1  ;0.2152122;0        ;3.397983 ;2.619832 
28x36_1  ;0.1589343;0        ;3.699013 ;2.920862 
28x38_1  ;0.1745524;0        ;3.522922 ;2.744771 
28x40_1  ;0.1404248;0        ;3.000043 ;2.221892 
28x42_1  ;0.1382701;0        ;3.221892 ;2.443741 
28x44_1  ;0.1745524;0        ;3.522922 ;2.744771 
28x46_1  ;0.2152122;0        ;3.397983 ;2.619832 
28x48_1  ;0.1745524;0        ;3.522922 ;2.744771 
28x50_1  ;0.2152122;0        ;3.397983 ;2.619832 
28x52_1  ;0.2152122;0        ;3.397983 ;2.619832 
28x54_1  ;0.1479906;0        ;3.045801 ;2.267650 
29x21_1  ;0.1589343;0        ;3.699013 ;2.920862 
29x23_1  ;0.1589343;0        ;3.699013 ;2.920862 
29x25_1  ;0.1589343;0        ;3.699013 ;2.920862 
29x27_1  ;0.1745524;0        ;3.522922 ;2.744771 
29x29_1  ;0.1382701;0        ;3.221892 ;2.443741 
29x31_1  ;0.1382701;0        ;3.221892 ;2.443741 
29x33_1  ;0.1589343;0        ;3.699013 ;2.920862 
29x35_1  ;0.2152122;0        ;3.397983 ;2.619832 
29x37_1  ;0.1404248;0        ;3.000043 ;2.221892 
29x39_1  ;0.1745524;0        ;3.522922 ;2.744771 
29x41_1  ;0.1382701;0        ;3.221892 ;2.443741 
29x43_1  ;0.1745524;0        ;3.522922 ;2.744771 
29x45_1  ;0.1382701;0        ;3.221892 ;2.443741 
29x47_1  ;0.2152122;0        ;3.397983 ;2.619832 
29x49_1  ;0.1382701;0        ;3.221892 ;2.443741 
29x51_1  ;0.1404248;0        ;3.000043 ;2.221892 
29x53_1  ;0.2152122;0        ;3.397983 ;2.619832 
29x55_1  ;0.1745524;0        ;3.522922 ;2.744771 
30x20_1  ;0.1589343;0        ;3.699013 ;2.920862 
30x22_1  ;0.1479906;0        ;3.045801 ;2.267650 
30x24_1  ;0.1589343;0        ;3.699013 ;2.920862 
30x26_1  ;0.1589343;0        ;3.699013 ;2.920862 
30x28_1  ;0.1404248;0        ;3.000043 ;2.221892 
30x30_1  ;0.1382701;0        ;3.221892 ;2.443741 
30x32_1  ;0.1589343;0        ;3.699013 ;2.920862 
30x34_1  ;0.1589343;0        ;3.699013 ;2.920862 
30x36_1  ;0.1745524;0        ;3.522922 ;2.744771 
30x38_1  ;0.1404248;0        ;3.000043 ;2.221892 
30x40_1  ;0.1382701;0        ;3.221892 ;2.443741 
30x42_1  ;0.1745524;0        ;3.522922 ;2.744771 
30x44_1  ;0.1745524;0        ;3.522922 ;2.744771 
30x46_1  ;0.1382701;0        ;3.221892 ;2.443741 
30x48_1  ;0.1745524;0        ;3.522922 ;2.744771 
30x50_1  ;0.1382701;0        ;3.221892 ;2.443741 
30x52_1  ;0.1745524;0        ;3.522922 ;2.744771 
30x54_1  ;0.2152122;0        ;3.397983 ;2.619832 
31x19_1  ;0.1404248;0        ;3.000043 ;2.221892 
31x21_1  ;0.1479906;0        ;3.045801 ;2.267650 
31x23_1  ;0.1404248;0        ;3.000043 ;2.221892 
31x25_1  ;0.1745524;0        ;3.522922 ;2.744771 
31x27_1  ;0.1404248;0        ;3.000043 ;2.221892 
31x29_1  ;0.1404248;0        ;3.000043 ;2.221892 
31x31_1  ;0.1382701;0        ;3.221892 ;2.443741 
31x33_1  ;0.1404248;0        ;3.000043 ;2.221892 
31x35_1  ;0.1589343;0        ;3.699013 ;2.920862 
31x37_1  ;0.1745524;0        ;3.522922 ;2.744771 
31x39_1  ;0.1745524;0        ;3.522922 ;2.744771 
31x41_1  ;0.1745524;0        ;3.522922 ;2.744771 
31x43_1  ;0.1745524;0        ;3.522922 ;2.744771 
31x45_1  ;0.1745524;0        ;3.522922 ;2.744771 
31x47_1  ;0.1404248;0        ;3.000043 ;2.221892 
31x49_1  ;0.1479906;0        ;3.045801 ;2.267650 
31x51_1  ;0.1589343;0        ;3.699013 ;2.920862 
31x53_1  ;0.1479906;0        ;3.045801 ;2.267650 
32x18_1  ;0.1745524;0        ;3.522922 ;2.744771 
32x20_1  ;0.1382701;0        ;3.221892 ;2.443741 
32x22_1  ;0.1382701;0        ;3.221892 ;2.443741 
32x24_1  ;0.1404248;0        ;3.000043 ;2.221892 
32x26_1  ;0.1382701;0        ;3.221892 ;2.443741 
32x28_1  ;0.1404248;0        ;3.000043 ;2.221892 
32x30_1  ;0.1382701;0        ;3.221892 ;2.443741 
32x32_1  ;0.1404248;0        ;3.000043 ;2.221892 
32x34_1  ;0.1404248;0        ;3.000043 ;2.221892 
32x36_1  ;0.1745524;0        ;3.522922 ;2.744771 
32x38_1  ;0.1745524;0        ;3.522922 ;2.744771 
32x40_1  ;0.1589343;0        ;3.699013 ;2.920862 
32x42_1  ;0.1404248;0        ;3.000043 ;2.221892 
32x44_1  ;0.1404248;0        ;3.000043 ;2.221892 
32x46_1  ;0.1745524;0        ;3.522922 ;2.744771 
32x48_1  ;0.1404248;0        ;3.000043 ;2.221892 
32x50_1  ;0.1589343;0        ;3.699013 ;2.920862 
32x52_1  ;0.1745524;0        ;3.522922 ;2.744771 
32x54_1  ;0.1589343;0        ;3.699013 ;2.920862 
33x19_1  ;0.1382701;0        ;3.221892 ;2.443741 
33x21_1  ;0.1382701;0        ;3.221892 ;2.443741 
33x23_1  ;0.1382701;0        ;3.221892 ;2.443741 
33x25_1  ;0.1382701;0        ;3.221892 ;2.443741 
33x27_1  ;0.1382701;0        ;3.221892 ;2.443741 
33x29_1  ;0.1382701;0        ;3.221892 ;2.443741 
33x31_1  ;0.1745524;0        ;3.522922 ;2.744771 
33x33_1  ;0.1404248;0        ;3.000043 ;2.221892 
33x35_1  ;0.1404248;0        ;3.000043 ;2.221892 
33x37_1  ;0.1404248;0        ;3.000043 ;2.221892 
33x39_1  ;0.1745524;0        ;3.522922 ;2.744771 
33x41_1  ;0.1745524;0        ;3.522922 ;2.744771 
33x43_1  ;0.1745524;0        ;3.522922 ;2.744771 
33x45_1  ;0.1589343;0        ;3.699013 ;2.920862 
33x47_1  ;0.1745524;0        ;3.522922 ;2.744771 
33x49_1  ;0.1382701;0        ;3.221892 ;2.443741 
33x51_1  ;0.1404248;0        ;3.000043 ;2.221892 
33x53_1  ;0.1745524;0        ;3.522922 ;2.744771 
33x55_1  ;0.1745524;0        ;3.522922 ;2.744771 
34x18_1  ;0.1745524;0        ;3.522922 ;2.744771 
34x20_1  ;0.1404248;0        ;3.000043 ;2.221892 
34x22_1  ;0.1404248;0        ;3.000043 ;2.221892 
34x24_1  ;0.1382701;0        ;3.221892 ;2.443741 
34x26_1  ;0.1382701;0        ;3.221892 ;2.443741 
34x28_1  ;0.1382701;0        ;3.221892 ;2.443741 
34x30_1  ;0.1479906;0        ;3.045801 ;2.267650 
34x32_1  ;0.1404248;0        ;3.000043 ;2.221892 
34x34_1  ;0.1404248;0        ;3.000043 ;2.221892 
34x36_1  ;0.1382701;0        ;3.221892 ;2.443741 
34x38_1  ;0.1404248;0        ;3.000043 ;2.221892 
34x40_1  ;0.1745524;0        ;3.522922 ;2.744771 
34x42_1  ;0.1479906;0        ;3.045801 ;2.267650 
34x44_1  ;0.1404248;0        ;3.000043 ;2.221892 
34x46_1  ;0.1745524;0        ;3.522922 ;2.744771 
34x48_1  ;0.1404248;0        ;3.000043 ;2.221892 
34x50_1  ;0.1745524;0        ;3.522922 ;2.744771 
34x52_1  ;0.1382701;0        ;3.221892 ;2.443741 
34x54_1  ;0.1479906;0        ;3.045801 ;2.267650 
35x17_1  ;0.1479906;0        ;3.045801 ;2.267650 
35x19_1  ;0.1745524;0        ;3.522922 ;2.744771 
35x21_1  ;0.1589343;0        ;3.699013 ;2.920862 
35x23_1  ;0.1745524;0        ;3.522922 ;2.744771 
35x25_1  ;0.1382701;0        ;3.221892 ;2.443741 
35x27_1  ;0.1382701;0        ;3.221892 ;2.443741 
35x29_1  ;0.1745524;0        ;3.522922 ;2.744771 
35x31_1  ;0.1382701;0        ;3.221892 ;2.443741 
35x33_1  ;0.1745524;0        ;3.522922 ;2.744771 
35x35_1  ;0.1479906;0        ;3.045801 ;2.267650 
35x37_1  ;0.1404248;0        ;3.000043 ;2.221892 
35x39_1  ;0.1745524;0        ;3.522922 ;2.744771 
35x41_1  ;0.1745524;0        ;3.522922 ;2.744771 
35x43_1  ;0.1404248;0        ;3.000043 ;2.221892 
35x45_1  ;0.1404248;0        ;3.000043 ;2.221892 
35x47_1  ;0.1745524;0        ;3.522922 ;2.744771 
35x49_1  ;0.1479906;0        ;3.045801 ;2.267650 
35x51_1  ;0.1479906;0        ;3.045801 ;2.267650 
35x53_1  ;0.1404248;0        ;3.000043 ;2.221892 
36x18_1  ;0.1589343;0        ;3.699013 ;2.920862 
36x20_1  ;0.2152122;0        ;3.397983 ;2.619832 
36x22_1  ;0.1745524;0        ;3.522922 ;2.744771 
36x24_1  ;0.1382701;0        ;3.221892 ;2.443741 
36x26_1  ;0.1404248;0        ;3.000043 ;2.221892 
36x28_1  ;0.1404248;0        ;3.000043 ;2.221892 
36x30_1  ;0.1745524;0        ;3.522922 ;2.744771 
36x32_1  ;0.1404248;0        ;3.000043 ;2.221892 
36x34_1  ;0.1589343;0        ;3.699013 ;2.920862 
36x36_1  ;0.1745524;0        ;3.522922 ;2.744771 
36x38_1  ;0.1745524;0        ;3.522922 ;2.744771 
36x40_1  ;0.1479906;0        ;3.045801 ;2.267650 
